nom,categorie,univers,prix,stock,vedette,prixAConfirmer,sourceStock
Barquette Lakh bol,Packaging alimentaire,Packaging,0,239,True,True,Stock réel 2026 transmis par WhatsApp
Barquette Lakh rectangulaire,Packaging alimentaire,Packaging,0,212,True,True,Stock réel 2026 transmis par WhatsApp
Barquettes bols,Packaging alimentaire,Packaging,0,224,True,True,Stock réel 2026 transmis par WhatsApp
Pot à sauce 50 pcs,Packaging alimentaire,Packaging,2800,4,True,False,Inventaire historique
Pot à sauce 25 pcs,Packaging alimentaire,Packaging,750,1,False,False,Inventaire historique
Barquette fruit 10 pcs,Packaging alimentaire,Packaging,1250,1,False,False,Inventaire historique
Barquette PM 25 pcs,Packaging alimentaire,Packaging,750,4,False,False,Inventaire historique
Barquette micro-ondable 3 pcs,Packaging alimentaire,Packaging,900,3,False,False,Inventaire historique
Plateau doré PM 3 pcs,Packaging alimentaire,Packaging,2250,3,True,False,Inventaire historique
Brochettes bambou 100 pcs,Packaging alimentaire,Packaging,1500,1,True,False,Inventaire historique
Brochettes bambou longues 100 pcs,Packaging alimentaire,Packaging,750,1,False,False,Inventaire historique
Cure-dents 500 pcs,Packaging alimentaire,Packaging,1400,2,False,False,Inventaire historique
Bâtonnets remuer café 100 pcs,Packaging alimentaire,Packaging,1000,4,False,False,Inventaire historique
Pot apéritif 10 pcs,Packaging alimentaire,Packaging,1000,6,False,False,Inventaire historique
Paille 100 pcs,Packaging alimentaire,Packaging,1500,2,False,False,Inventaire historique
Gobelets jus de fruits 100 pcs,Packaging alimentaire,Packaging,3500,3,True,False,Inventaire historique
Gobelets café avec couvercle noir 8oz 50 pcs,Packaging alimentaire,Packaging,3250,4,False,False,Inventaire historique
Gobelets café avec couvercle noir 8oz 25 pcs,Packaging alimentaire,Packaging,1650,1,False,False,Inventaire historique
Gobelet PET 16oz avec couvercle 50 pcs,Packaging alimentaire,Packaging,3250,4,False,False,Inventaire historique
Gobelets motifs écossais 50 pcs,Packaging alimentaire,Packaging,2000,1,False,False,Inventaire historique
Sac banane saumon gris,Cadeaux & Accessoires,Cadeaux & Paniers,10000,3,True,False,Inventaire historique
Sacoches jaune mauve,Cadeaux & Accessoires,Cadeaux & Paniers,11000,4,True,False,Inventaire historique
Sac pailleté,Cadeaux & Accessoires,Cadeaux & Paniers,1500,6,False,False,Inventaire historique
Sac cadeau en carton,Cadeaux & Accessoires,Cadeaux & Paniers,1200,11,False,False,Inventaire historique
Sac papier kraft MM,Cadeaux & Accessoires,Cadeaux & Paniers,300,13,False,False,Inventaire historique
Sac papier kraft,Cadeaux & Accessoires,Cadeaux & Paniers,150,31,False,False,Inventaire historique
Moule aluminium,Maison-Art-Table,Maison & Quotidien,4000,1,False,False,Inventaire historique
Moule silicone cœur,Maison-Art-Table,Maison & Quotidien,4750,1,True,False,Inventaire historique
Kit pâtisserie,Maison-Art-Table,Maison & Quotidien,3000,2,False,False,Inventaire historique
Douille 6 pcs,Maison-Art-Table,Maison & Quotidien,2700,6,False,False,Inventaire historique
Pétard de cœur,Décoration-Fête,Événementiel,1500,1,True,False,Inventaire historique
Bougie chiffre,Décoration-Fête,Événementiel,250,8,False,False,Inventaire historique
Bride To Be,Décoration-Fête,Événementiel,4000,1,True,False,Inventaire historique
Heureux ménage,Décoration-Fête,Événementiel,3000,1,True,False,Inventaire historique
Money box,Cadeaux & Accessoires,Cadeaux & Paniers,1500,1,False,False,Inventaire historique
